Algorithm,ItemCount,Capacity,TotalValue,TotalWeight_Selected,TimeMS
蛮力法,4,7,9.00,7.00,0.00
动态规划法 (2D),4,7,9.00,7.00,0.00
贪心法,4,7,7.00,5.00,0.00
回溯法,4,7,9.00,7.00,0.00
蛮力法,4,10000,1088.44,94.18,0.00
动态规划法 (2D),4,10000,1088.44,94.18,30.00
贪心法,4,10000,1088.44,94.18,0.00
回溯法,4,10000,1088.44,94.18,0.00
蛮力法,4,100000,1088.44,94.18,0.00
动态规划法 (2D),4,100000,1088.44,94.18,283.00
贪心法,4,100000,1088.44,94.18,0.00
回溯法,4,100000,1088.44,94.18,0.00
蛮力法,4,1000000,1088.44,94.18,0.00
动态规划法 (2D),4,1000000,1088.44,94.18,2013.00
贪心法,4,1000000,1088.44,94.18,0.00
回溯法,4,1000000,1088.44,94.18,0.00
蛮力法,10,10000,2594.01,330.63,0.00
动态规划法 (2D),10,10000,2594.01,330.63,42.00
贪心法,10,10000,2594.01,330.63,0.00
回溯法,10,10000,2594.01,330.63,0.00
蛮力法,10,100000,2594.01,330.63,0.00
动态规划法 (2D),10,100000,2594.01,330.63,430.00
贪心法,10,100000,2594.01,330.63,0.00
回溯法,10,100000,2594.01,330.63,0.00
蛮力法,10,1000000,2594.01,330.63,0.00
动态规划法-内存超限跳过,10,1000000,0.00,0.00,0.00
贪心法,10,1000000,2594.01,330.63,0.00
回溯法,10,1000000,2594.01,330.63,0.00
蛮力法,15,10000,3969.95,787.95,5.00
动态规划法 (2D),15,10000,3969.95,787.95,92.00
贪心法,15,10000,3969.95,787.95,0.00
回溯法,15,10000,3969.95,787.95,0.00
蛮力法,15,100000,3969.95,787.95,8.00
动态规划法 (2D),15,100000,3969.95,787.95,653.00
贪心法,15,100000,3969.95,787.95,0.00
回溯法,15,100000,3969.95,787.95,0.00
蛮力法,15,1000000,3969.95,787.95,4.00
动态规划法-内存超限跳过,15,1000000,0.00,0.00,0.00
贪心法,15,1000000,3969.95,787.95,0.00
回溯法,15,1000000,3969.95,787.95,0.00
蛮力法-跳过,20,10000,0.00,0.00,0.00
动态规划法 (2D),20,10000,5034.74,1128.10,94.00
贪心法,20,10000,5034.74,1128.10,0.00
回溯法,20,10000,5034.74,1128.10,0.00
蛮力法-跳过,20,100000,0.00,0.00,0.00
动态规划法 (2D),20,100000,5034.74,1128.10,878.00
贪心法,20,100000,5034.74,1128.10,0.00
回溯法,20,100000,5034.74,1128.10,0.00
蛮力法-跳过,20,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,20,1000000,0.00,0.00,0.00
贪心法,20,1000000,5034.74,1128.10,0.00
回溯法,20,1000000,5034.74,1128.10,1.00
蛮力法-跳过,25,10000,0.00,0.00,0.00
动态规划法 (2D),25,10000,7144.37,1071.73,113.00
贪心法,25,10000,7144.37,1071.73,0.00
回溯法,25,10000,7144.37,1071.73,0.00
蛮力法-跳过,25,100000,0.00,0.00,0.00
动态规划法 (2D),25,100000,7144.37,1071.73,1276.00
贪心法,25,100000,7144.37,1071.73,0.00
回溯法,25,100000,7144.37,1071.73,0.00
